shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L4,104,-43.194705138712365,-22.903431918353288
shap_L4,105,-43.194744387644924,-22.903413035685414
shap_L4,106,-43.19483661817,-22.903444080966363
shap_L4,107,-43.19484104267834,-22.9034456194547
shap_L4,108,-43.19485086275854,-22.903449048814906
shap_L4,109,-43.19486153346962,-22.903452797583398
shap_L4,110,-43.19487332835996,-22.903456966396785
shap_L4,111,-43.194886705304704,-22.90346172210198
shap_L4,112,-43.194902561596386,-22.90346739366789
shap_L4,113,-43.194923207944555,-22.903474823698897
shap_L4,114,-43.194911414848676,-22.903502546708324
shap_L4,115,-43.194890835422356,-22.903495141818176
shap_L4,116,-43.19487503150586,-22.90348948980995
shap_L4,117,-43.19486169822502,-22.903484749048467
shap_L4,118,-43.19484994213774,-22.903480594220675
shap_L4,119,-43.19483930634342,-22.90347685849065
shap_L4,120,-43.1948295173056,-22.903473440318894
shap_L4,121,-43.194825108318526,-22.90347190742482
shap_L4,122,-43.19496105399106,-22.903520528596278
shap_L4,123,-43.19497301103458,-22.90349286433719
shap_L4,124,-43.194651504758646,-22.903383705941494
shap_L4,125,-43.194647016606964,-22.90338233649651
shap_L4,126,-43.19463704304126,-22.903379309942274
shap_L4,127,-43.19462619055358,-22.903376039511286
shap_L4,128,-43.19461417852286,-22.903372443449648
shap_L4,129,-43.194600535012185,-22.903368386355787
shap_L4,130,-43.194584341391746,-22.90336360493778
shap_L4,131,-43.19456322445185,-22.90335741300363
shap_L4,132,-43.19544256122407,-22.90369529844907
shap_L4,133,-43.195467368129925,-22.903704257564986
shap_L4,134,-43.1954776657777,-22.90370791536414
shap_L4,135,-43.195485583146755,-22.903710683720092
shap_L4,136,-43.19549227067441,-22.903712987488053
shap_L4,137,-43.19549817264043,-22.90371498974703
shap_L4,138,-43.19550351895165,-22.9037167743824
shap_L4,139,-43.19550844343499,-22.903718393484656
shap_L4,140,-43.19551303534815,-22.903719878771117
shap_L4,141,-43.195517355792795,-22.90372125351192
shap_L4,142,-43.19552144937387,-22.903722535371546
shap_L4,143,-43.19552534907276,-22.903723736464155
shap_L4,144,-43.19552908107243,-22.90372486702066
shap_L4,145,-43.195532666718705,-22.903725934507833
shap_L4,146,-43.19553612249631,-22.903726945434244
shap_L4,147,-43.19553946197804,-22.903727905372335
shap_L4,148,-43.19554269679947,-22.903728818969455
shap_L4,149,-43.19554583763349,-22.903729689959007
shap_L4,150,-43.19554889125459,-22.903730522030152
shap_L4,151,-43.1955518644611,-22.90373131706615
shap_L4,152,-43.19555476598868,-22.903732077875393
shap_L4,153,-43.195557598737246,-22.903732806296873
shap_L4,154,-43.19556036948127,-22.90373350601975
shap_L4,155,-43.195563081156514,-22.903734176174304
shap_L4,156,-43.195565738588236,-22.90373482042751
shap_L4,157,-43.195568343725654,-22.903735438801537
shap_L4,158,-43.19557090140595,-22.903736034060415
shap_L4,159,-43.195571574874634,-22.903736188002856
shap_L4,160,-43.19557862707513,-22.903707107097294
shap_L4,161,-43.19558102069123,-22.903707651728205
shap_L4,162,-43.195581305439255,-22.903707716369365
shap_L4,163,-43.1955761889138,-22.90370654028736
shap_L4,164,-43.195573706219186,-22.903705950395523
