shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L3,83,-43.16884299906897,-22.91215816986497
shap_L3,84,-43.168841821825005,-22.91215974201342
shap_L3,85,-43.16884065872357,-22.91216127730065
shap_L3,86,-43.16883951070293,-22.912162778446586
shap_L3,87,-43.16883894124232,-22.91216351688109
shap_L3,88,-43.16880830699371,-22.912198339420744
shap_L3,89,-43.16877324347327,-22.91222936962284
shap_L3,90,-43.1687342932571,-22.91225612881332
shap_L3,91,-43.1686920585145,-22.912278201314788
shap_L3,92,-43.16864719206614,-22.912295246985966
shap_L3,93,-43.168600389586466,-22.91230700113203
shap_L3,94,-43.168552373887536,-22.91231328335372
shap_L3,95,-43.168551397176685,-22.912313352459794
shap_L3,96,-43.168549416513166,-22.9123134867456
shap_L3,97,-43.16854739693619,-22.91231361516446
shap_L3,98,-43.16854533555819,-22.91231373497393
shap_L3,99,-43.168543229418795,-22.912313848848996
shap_L3,100,-43.168541077567625,-22.91231395497262
shap_L3,101,-43.168538875143526,-22.912314052385714
shap_L3,102,-43.16853661919826,-22.912314142860353
shap_L3,103,-43.16853430488283,-22.9123142245345
shap_L3,104,-43.16853192927324,-22.912314297374486
shap_L3,105,-43.16852948653369,-22.91231436040993
shap_L3,106,-43.16852696982948,-22.912314414465094
shap_L3,107,-43.16852437333693,-22.912314457666728
shap_L3,108,-43.16852168827199,-22.91231449081653
shap_L3,109,-43.168518905899155,-22.9123145111047
shap_L3,110,-43.168516013535765,-22.912314519287982
shap_L3,111,-43.16851299754876,-22.912314514306118
shap_L3,112,-43.16850984238006,-22.91231449327058
shap_L3,113,-43.16850652462576,-22.912314456814496
shap_L3,114,-43.168503017031895,-22.912314401914433
shap_L3,115,-43.168499282597935,-22.912314325434615
shap_L3,116,-43.1684952706539,-22.91231422588758
shap_L3,117,-43.16849090916014,-22.91231409612133
shap_L3,118,-43.16848608607973,-22.912313931231594
shap_L3,119,-43.16848061247499,-22.912313718203013
shap_L3,120,-43.16847412113105,-22.912313435642936
shap_L3,121,-43.16846566335157,-22.912313026555516
shap_L3,122,-43.16844524998246,-22.912311933251306
shap_L3,123,-43.16842558903638,-22.91231084952526
shap_L3,124,-43.1683853619782,-22.912310173366652
shap_L3,125,-43.16834521152357,-22.912312573804517
shap_L3,126,-43.1683421295909,-22.912360558730388
shap_L3,127,-43.168381689560285,-22.9123673524653
shap_L3,128,-43.168188275623045,-22.91232800165052
shap_L3,129,-43.16803441980226,-22.912295443500778
shap_L3,130,-43.167994859865225,-22.912288650584628
shap_L3,131,-43.167954830084405,-22.912284902676465
shap_L3,132,-43.167950960251574,-22.912345151588784
shap_L3,133,-43.167991187309596,-22.912345827857983
shap_L3,134,-43.1680313377614,-22.912343428413646
